Site_ID,Lat,Lon,Total_Facilities,Diversity_Index,Facility_Types_List,Subtype_Diversity
1206092,51.13868,0.8400599,2,2,"5, 6",2
1206094,50.95505,0.7316814,2,1,"5, 5",2
1206095,51.67876,-0.6173429,4,1,"5, 5, 5, 5",4
1206096,51.67234,-0.5592276,5,2,"5, 5, 5, 5, 17",5
1206097,50.83132,-0.4216815,1,1,12,1
1206098,51.21256,1.397823,1,1,5,1
1206099,51.2426,-1.294767,3,1,"5, 5, 5",2
1206101,50.82964,-0.3782729,2,1,"5, 5",2
1206103,51.43718,0.3805442,4,1,"5, 5, 5, 5",3
1206104,51.19283,-1.567312,1,1,5,1
1206105,51.49039,-0.8712726,8,4,"5, 5, 5, 5, 6, 6, 8, 17",8
1206106,51.0065,-1.43091,2,1,"5, 5",2
1206107,50.54566,-4.322034,5,3,"2, 5, 5, 5, 6",5
1206109,50.81187,-0.4351267,3,1,"5, 5, 5",3
1206111,50.81326,-0.4333494,3,1,"5, 5, 5",3
1206112,51.0262,-1.507524,3,1,"5, 5, 5",3
1206114,50.98607,0.4620611,9,3,"5, 5, 5, 5, 5, 5, 6, 6, 17",9
1206115,50.8365,-0.3798549,5,1,"5, 5, 5, 5, 5",5
1206116,51.04227,-1.550121,2,1,"5, 5",2
1206118,51.4318,0.7573891,2,1,"5, 5",2
1206119,50.97752,-1.434051,5,2,"5, 5, 5, 5, 17",5
1206120,51.34673,0.7550344,7,3,"5, 5, 5, 5, 5, 6, 17",7
1206121,50.82537,-0.3713919,6,1,"5, 5, 5, 5, 5, 5",6
1206122,50.81924,-1.087868,1,1,6,1
1206123,51.23269,-1.498763,4,1,"5, 5, 5, 5",3
1206124,50.78722,-1.074432,1,1,6,1
1206126,50.27133,-4.906105,5,3,"5, 5, 5, 6, 12",5
1206127,50.83409,-0.3763002,4,1,"5, 5, 5, 5",4
1206129,51.00339,-1.346794,1,1,5,1
1206130,51.3905,0.1625603,2,2,"5, 8",2
1206132,50.811,-1.082564,1,1,6,1
1206134,51.28074,0.5312493,1,1,5,1
1206135,50.84425,-1.068333,1,1,6,1
1206136,50.64668,-3.36713,4,1,"5, 5, 5, 5",4
1206137,50.82388,-1.083348,5,1,"5, 5, 5, 5, 5",5
1206139,50.83881,-1.041407,3,1,"5, 5, 5",3
1206140,50.7349,-1.807254,2,1,"6, 6",1
1206141,50.83976,-1.052861,6,2,"5, 5, 5, 5, 5, 17",6
1206142,50.78753,-3.280163,3,1,"5, 5, 5",3
1206143,50.75017,-1.874549,1,1,6,1
1206144,50.70256,-3.293703,5,3,"5, 5, 5, 8, 17",5
1206145,50.84031,-1.071115,6,2,"5, 5, 5, 5, 5, 8",6
1206147,50.84843,-1.097017,3,1,"5, 5, 5",3
1206148,50.77133,-1.901522,1,1,6,1
1206149,50.61407,-3.406055,3,1,"5, 5, 5",3
1206150,50.63186,-3.312683,1,1,5,1
1206151,50.83204,-1.841133,1,1,6,1
1206152,50.74615,-3.286687,1,1,5,1
1206154,50.86601,-1.863583,6,3,"5, 5, 5, 5, 8, 17",6
1206156,50.75479,-1.910275,1,1,5,1
1206158,50.73512,-1.79673,4,2,"5, 5, 5, 20",3
1206160,50.79599,-1.97189,1,1,5,1
1206161,50.82965,-1.892327,6,3,"5, 5, 5, 5, 8, 17",6
1206162,50.6759,-3.400567,1,1,6,1
1206163,50.80385,-1.900177,3,2,"5, 5, 17",3
1206166,50.77087,-1.893706,2,1,"5, 5",2
1206167,50.74588,-1.89227,3,2,"5, 5, 8",3
1206168,50.68468,-3.465889,1,1,6,1
1206171,50.71508,-3.541828,1,1,5,1
1206179,50.71921,-3.478092,6,5,"2, 5, 5, 6, 7, 13",6
1206180,54.51669,-2.008115,1,1,6,1
1206183,54.62715,-1.840037,1,1,6,1
1206184,50.71086,-3.544508,6,2,"5, 5, 5, 5, 5, 17",6
1206186,51.00925,-3.099593,1,1,5,1
1206187,50.80225,0.26972,7,3,"5, 5, 5, 5, 5, 6, 13",7
1206192,54.62406,-1.870034,1,1,6,1
1206193,51.24808,1.03231,4,1,"5, 5, 5, 5",4
1206195,51.24582,1.03543,4,1,"5, 5, 5, 5",4
1206196,50.97946,-3.238633,2,1,"5, 5",1
1206197,51.01117,-3.123167,3,1,"5, 5, 5",3
1206198,50.73794,-3.489433,3,1,"5, 5, 5",3
1206199,51.01852,-3.091815,5,1,"5, 5, 5, 5, 5",5
1206200,50.72444,-3.544899,4,1,"5, 5, 5, 5",4
1206202,50.70635,-3.519707,2,1,"5, 5",2
1206204,50.79101,0.2595264,7,2,"5, 5, 5, 5, 6, 6, 6",5
1206205,51.03543,-3.103835,3,2,"5, 5, 17",3
1206206,51.25602,1.019815,2,2,"5, 6",2
1206207,51.01722,-3.081684,3,1,"5, 5, 5",3
1206208,51.0105,-3.070341,2,1,"5, 5",2
1206209,50.77666,0.1214153,9,3,"5, 5, 5, 5, 5, 5, 5, 6, 7",9
1206211,54.56961,-1.981799,1,1,6,1
1206213,50.96947,-2.767214,1,1,6,1
1206214,51.49784,-0.9690251,5,1,"5, 5, 5, 5, 5",3
1206215,51.05619,-2.40671,1,1,6,1
1206218,50.96626,-2.769212,6,2,"5, 5, 5, 5, 5, 17",5
1206219,50.91344,-2.660189,1,1,6,1
1206222,50.9166,-2.663272,3,1,"5, 5, 5",3
1206224,50.93077,-2.964917,1,1,6,1
1206225,50.90664,0.6320822,6,5,"2, 5, 5, 6, 7, 8",6
1206226,51.45208,-0.9387211,2,1,"5, 5",2
1206227,50.95325,-2.926345,1,1,5,1
1206228,51.02159,0.2622076,8,7,"2, 5, 5, 6, 7, 8, 12, 17",8
1206232,50.92422,-2.634574,3,1,"5, 5, 5",2
1206233,51.43755,-0.9116363,1,1,6,1
1206234,51.46685,-0.9173306,4,1,"5, 5, 5, 5",3
1206235,50.90954,-2.238492,2,1,"5, 5",2
1206236,51.4545,-0.9421332,1,1,6,1
1206237,50.84304,0.4883686,12,4,"2, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 12",11
1206238,50.86178,-2.165298,2,1,"5, 5",2
1206240,50.97263,-2.312452,3,2,"5, 5, 17",3
1206242,50.87912,-2.362202,3,2,"5, 5, 20",3
1206243,54.54669,-1.74145,1,1,6,1
1206244,50.94758,-2.253058,1,1,5,1
1206245,54.60892,-2.048031,1,1,6,1
1206249,54.59369,-2.007049,1,1,6,1
1206250,51.0883,0.0151031,2,2,"5, 17",2
1206251,54.5436,-1.923493,1,1,6,1
1206252,50.8666,0.2025638,13,8,"2, 5, 5, 5, 5, 5, 6, 7, 8, 12, 13, 13, 17",13
1206254,50.89603,-2.276662,1,1,6,1
1206257,51.06798,1.088622,5,2,"5, 5, 5, 17, 17",4
1206258,51.70241,-0.4911858,1,1,5,1
1206259,51.41356,0.2381764,3,1,"5, 5, 5",3
1206261,50.85139,0.4848411,2,2,"6, 7",2
1206262,50.98674,0.606688,4,3,"2, 5, 5, 7",4
1206263,50.85524,-0.008885425,1,1,2,1
1206264,50.84038,0.003396496,3,3,"5, 6, 7",3
1206282,51.1374,-3.539963,1,1,6,1
1206283,51.13813,-3.541831,2,1,"5, 5",2
1206285,51.20401,-3.454907,3,2,"7, 8, 8",2
1206286,51.18112,-3.394823,1,1,7,1
1206287,50.74586,-1.986817,8,4,"2, 5, 5, 5, 5, 6, 6, 17",8
1206290,52.01237,-0.9790343,2,1,"5, 5",2
1206292,51.94393,-0.8804678,2,1,"5, 5",2
1206293,51.79222,-0.8951721,2,1,"5, 5",2
1206294,51.99739,-0.977198,1,1,5,1
1206296,51.79857,-0.7268663,1,1,5,1
1206298,51.82492,-0.8103349,1,1,6,1
1206299,50.73823,-1.962035,9,4,"2, 5, 5, 5, 5, 6, 6, 17, 17",8
1206301,51.81698,-0.8395542,2,2,"6, 12",2
1206302,51.82451,-0.8063351,1,1,6,1
1206305,51.42083,-0.7625357,1,1,6,1
1206306,50.72499,-1.982113,11,3,"5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 7",11
1206307,51.40855,-0.7254832,1,1,6,1
1206308,51.41987,-0.6924551,1,1,6,1
1206309,51.41684,-0.781022,4,2,"5, 5, 17, 17",3
1206310,50.76962,-2.005997,5,2,"5, 5, 5, 5, 6",5
1206311,51.42371,-0.7512985,4,1,"5, 5, 5, 5",4
1206313,51.38998,-0.7770506,3,2,"5, 5, 8",3
1206314,50.75125,-1.981547,1,1,6,1
1206317,51.30148,-0.7638958,3,1,"5, 5, 5",2
1206321,51.23476,-0.7449722,4,1,"5, 5, 5, 5",3
1206324,51.24346,-0.7724974,1,1,6,1
1206326,52.08006,-0.7353392,11,6,"2, 5, 5, 5, 5, 6, 6, 6, 8, 12, 13",10
1206327,51.54801,-0.5856315,1,1,6,1
1206329,51.71412,-0.4569102,1,1,5,1
1206330,52.61295,1.182075,1,1,5,1
1206331,51.74688,-0.4312085,1,1,5,1
1206334,52.61115,1.151185,1,1,5,1
1206335,52.65778,1.2061,4,2,"5, 5, 5, 6",4
1206336,51.53753,-0.6193805,1,1,6,1
1206337,52.38296,1.077776,2,1,"5, 5",1
1206338,51.49714,-0.5432309,1,1,6,1
1206341,51.50802,-0.6061372,1,1,6,1
1206342,55.16998,-1.70163,3,2,"2, 5, 5",2
1206343,51.10399,-3.563635,1,1,6,1
1206344,50.89528,-1.266057,4,1,"5, 5, 5, 5",3
1206345,55.24564,-1.629514,2,1,"5, 5",2
1206346,51.10286,-3.560275,2,2,"5, 17",2
1206347,51.20694,-3.595665,4,2,"5, 5, 5, 17",4
1206349,55.3437,-1.612821,1,1,5,1
1206350,51.13513,-3.633848,1,1,5,1
1206352,51.63341,-1.404255,2,1,"5, 5",2
1206353,55.15538,-1.705259,4,1,"5, 5, 5, 5",4
1206354,51.634,-1.40505,5,2,"5, 5, 5, 5, 17",5
1206355,51.61062,-1.423789,1,1,6,1
1206356,51.603,-1.42699,5,1,"5, 5, 5, 5, 5",5
1206358,50.89451,-1.263195,3,2,"5, 5, 17",3
1206359,51.60929,-1.422099,1,1,12,1
1206361,51.70979,-1.248484,5,1,"5, 5, 5, 5, 5",5
1206362,51.71833,-1.244413,1,1,6,1
1206363,51.63341,-1.404255,1,1,6,1
1206364,50.8975,-1.170828,1,1,5,1
1206365,50.95751,-2.374606,3,2,"6, 12, 12",2
