Site ID,Facility Type,Facility Subtype,Facility ID,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Social Areas,Disability: Reception Area,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011651,10,10001,2008747,0,60.0,30.0,1800.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,1,1,1,1,1,1,1,1,1,0,Hearing loop available at reception,1931,0,1,1982,1,2,,2,1,1,12,2009-11-25,999,2023-04-05 12:30:52,1,530029,171082,51.42384,-0.1311808,
1011653,10,10001,2008749,0,44.0,22.0,968.0,5,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,2,"Parking: 12 Designated bays, 2 drop-off points, Emergency Exits: Flashing alarms in all areas",1991,0,0,,0,0,,2,1,1,12,2017-10-01,201,2022-01-09 20:41:24,1,459566,92910,50.73275,-1.157324,
1011654,10,10001,2008750,0,66.0,26.0,1716.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,2,,1987,0,1,2004,1,0,,3,1,1,12,2013-04-01,999,2014-01-16 00:00:00,1,551274,187903,51.56972,0.181369,
1011656,10,10001,2008752,0,55.0,24.0,1320.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1965,0,0,,1,0,,2,1,1,12,,,2025-05-02 13:34:57,1,416134,432701,53.79039,-1.756585,
1011658,10,10001,2008754,0,56.0,26.0,1456.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,Ramps can be used to enter the ice,1990,0,1,2020,1,1,2000,2,1,1,12,,,2025-03-24 08:37:13,1,529602,190067,51.59455,-0.1303542,
1014289,10,10001,2027589,0,36.0,18.0,648.0,3,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2008,0,0,,1,0,,2,1,1,12,,,2025-11-25 13:43:32,1,449085,358994,53.12588,-1.267926,
1011614,10,10001,2028057,0,50.0,20.0,1000.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2003,0,1,2005,1,1,2013,2,1,1,12,,,2025-03-03 11:59:32,1,420970,303556,52.62938,-1.691613,
1018755,10,10001,2038457,0,60.0,30.0,1800.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2007,0,0,,1,0,,2,1,1,12,,,2025-09-15 10:40:39,1,377016,387813,53.38668,-2.347025,
1036639,10,10001,2074390,0,20.0,20.0,400.0,5,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,0,,2007,0,0,,0,0,,2,1,1,12,2022-03-27,201,2022-04-01 11:38:47,1,397800,308226,52.67176,-2.033962,
1011642,10,10001,4008737,0,54.0,26.0,1404.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,2,,1965,0,1,2005,1,1,2003,3,1,1,12,2005-06-01,999,2007-07-18 00:00:00,1,435856,386331,53.37265,-1.462528,
1011699,10,10001,4008756,0,0.0,0.0,0.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,2,,2010,0,0,,1,0,,3,1,1,12,2014-05-01,999,2015-08-03 00:00:00,0,407200,286260,52.47424,-1.895424,
1036425,10,10001,4073617,0,56.0,26.0,1456.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,0,1,0,,2012,0,2,,1,0,,2,1,1,12,,,2025-09-15 11:42:08,1,351895,385206,53.36154,-2.724305,
1011651,10,10001,4117918,0,60.0,30.0,1800.0,3,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,Hearing loop available at reception,2013,0,0,,1,0,,2,1,1,12,,,2025-07-23 09:11:28,1,530029,171082,51.42384,-0.1311808,
30006125,10,10001,30011523,0,56.0,26.0,1456.0,3,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,0,1,0,,1986,0,1,2011,1,1,2014,2,1,1,12,,,2025-05-29 11:54:56,1,496613,179995,51.51064,-0.6091987,2017-05-24 09:25:28
30007177,10,10001,30014582,0,56.0,26.0,1456.0,3,,Everyone Active,2018-02-03,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2018,0,0,,1,0,,2,1,1,12,,,2025-11-27 12:30:48,1,551520,188742,51.57718,0.185268,2018-02-09 13:28:00
30007678,10,10001,30016443,0,56.0,26.0,1456.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,0,0,1,1,1,1,1,1,1,0,,2017,1,0,,0,0,,2,1,1,12,,,2025-09-15 11:39:21,1,409695,333587,52.89966,-1.857317,2018-10-05 15:41:38
30008490,10,10001,30019561,0,56.0,26.0,1456.0,3,,,,,Pay and Play,Public Access,Trust,Trust,0,0,0,0,0,0,0,0,0,0,,2019,0,0,,1,0,,2,1,1,12,,,2025-01-27 08:24:43,1,549313,259378,52.21241,0.1840188,2019-09-25 15:18:59
30008577,10,10001,30020349,0,60.0,30.0,1800.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,1,1,1,0,,2019,0,0,,1,0,,2,1,1,12,,,2025-09-24 11:44:21,1,427963,431185,53.77628,-1.57716,2019-12-11 12:37:11
30009475,10,10001,30024533,1,60.0,30.0,1800.0,3,,,2021-10-25,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2020,0,0,,1,0,,2,1,1,12,,,2025-09-01 12:01:50,1,358310,180507,51.52194,-2.602273,2021-02-16 17:51:26
30010180,10,10001,30027787,1,60.0,25.0,1500.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,0,0,1,1,1,0,1,1,1,0,,2021,0,0,,1,0,,2,1,1,12,,,2026-01-05 13:46:24,1,485707,169307,51.41632,-0.7688976,2022-06-08 13:00:02
1011640,10,10001,30029994,0,56.0,26.0,1456.0,3,,Greenwich Leisure Limited,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,2022,0,0,,1,1,2023,2,1,1,12,,,2025-04-14 11:10:35,1,535630,186784,51.56363,-0.04464915,2023-05-22 11:53:26
