Site ID,Facility Subtype,Facility ID,Rinks,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1005597,3002,2008826,7,0,63.0,35.0,2205.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1925,0,0,,1,1,2004,3,1,1,12,2011-07-01,999,2010-08-17 00:00:00,1,489973,411405,53.59154,-0.6421447,
1005610,3002,2008827,6,0,36.0,25.2,907.0,4,28.8.2025 - The site is due to close for refurbishments in 3 weeks time.,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,1972,0,1,2010,1,1,2007,2,1,1,12,,,2025-08-20 14:28:16,1,525068,323143,52.79139,-0.146709,
1005637,3002,2008828,3,0,35.1,13.5,474.0,5,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,2,,1990,0,1,2003,1,1,2006,2,1,1,12,2018-02-22,101,2023-06-02 17:42:31,1,481948,390778,53.40749,-0.7687473,
1005718,3002,2008829,6,0,36.0,28.0,1008.0,5,,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,2,,1975,0,1,2002,1,0,,2,1,1,12,2017-06-04,102,2024-03-01 12:37:28,1,501861,222380,51.89069,-0.5212276,
1005742,3002,2008830,4,0,34.2,16.8,575.0,3,,Greenwich Leisure Limited,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1990,0,0,,1,1,2007,2,1,1,12,,,2025-11-06 13:25:26,1,225280,65206,50.46058,-4.462998,
1005793,3002,2008831,4,0,28.0,20.0,560.0,5,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,2,,1972,0,1,2010,1,1,2006,2,1,1,12,2016-03-01,103,2016-03-23 10:05:25,1,426673,587595,55.18194,-1.582694,
1005803,3002,2008832,4,0,35.1,18.0,632.0,5,,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,2,,1977,0,1,2008,1,1,2012,2,1,1,12,2016-03-01,999,2023-08-03 16:45:13,1,426154,576808,55.08504,-1.591829,
1005824,3002,2008833,4,0,34.2,16.8,575.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1986,0,1,2004,1,0,,3,1,1,12,2010-12-01,999,2024-01-18 09:54:54,1,393908,564249,54.97283,-2.096704,
1005913,3002,2008834,5,0,36.0,25.0,900.0,3,Bowls Hall used as a activity hall in summer. ,Circadian Trust,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,"Finding/Reaching Entrance: Ramp, Doorways: Automatic",1979,0,1,2006,1,1,2011,2,1,1,12,,,2024-12-31 13:35:02,1,363594,189193,51.6004,-2.52702,
1005914,3002,2008835,4,0,38.0,18.9,718.0,5,,Circadian Trust,,,Pay and Play,Public Access,Trust,Trust,0,0,0,0,0,0,0,0,0,0,2,,1989,0,1,2006,1,0,,3,1,1,12,2013-07-01,999,2023-11-21 08:18:38,1,371231,182478,51.54046,-2.41621,
1005953,3002,2008836,8,0,38.0,36.0,1368.0,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,0,1,0,,1998,0,1,2003,1,0,,2,1,1,12,,,2025-05-19 07:31:40,1,434843,567596,55.00173,-1.456847,
1006736,3002,2008837,6,0,35.1,27.3,958.0,3,,,,,Registered Membership use,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,0,0,,1928,0,1,1995,1,1,2005,2,1,1,12,,,2025-09-30 10:25:09,1,525679,182371,51.52628,-0.1897076,
1010905,3002,2008838,3,0,36.0,13.5,486.0,5,"Re-opened on Active Places 23/02/2018
Never was closed. ",,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,1992,0,1,2006,1,0,,2,1,1,12,2020-06-01,101,2023-10-04 11:02:24,1,301656,106387,50.84861,-3.398347,
1010939,3002,2008839,8,0,36.0,36.0,1296.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1988,0,1,1998,1,0,,3,1,1,12,2009-09-01,999,2009-10-07 00:00:00,1,331119,436583,53.82095,-3.0478,
1010940,3002,2008840,6,0,37.0,37.0,1369.0,3,Ladies & Men's Changing rooms,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,All Exits have wheelchair access & site has a separate disabled toilet,1976,0,1,2005,1,1,2013,2,1,1,12,,,2025-05-12 08:03:51,1,556299,174346,51.44654,0.2478164,
1010941,3002,2008841,8,0,36.0,36.0,1296.0,3,,Exeter City Council,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1994,0,1,2007,1,1,2005,2,1,1,12,,,2025-06-11 14:27:35,1,295096,94098,50.73698,-3.487981,
1010942,3002,2008842,8,0,36.9,33.6,1240.0,3,"Resurfaced and new lighting installed - 2019
New green surface 2020",,,,Sports Club / Community Association,Public Access,Other,Others,1,1,1,1,1,0,1,1,1,1,2,,1975,0,1,2019,1,1,2018,2,1,1,12,,,2025-01-23 16:47:39,1,425609,562435,54.95592,-1.601649,
1010943,3002,2008843,8,0,36.6,36.6,1340.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,1,0,1,0,"Finding/Reaching Entrance: Ramp & handrails, Reception Area: Inner ramp, Social Areas: Special wheelchairs provided",1972,0,1,2014,1,1,2006,2,1,1,12,,,2025-09-05 14:15:10,1,450731,533001,54.68952,-1.214553,
1010944,3002,2008844,8,0,36.0,38.0,1368.0,3,Opening times change in the Summer. ,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1995,0,1,2006,1,1,2005,2,1,1,12,,,2025-01-03 12:35:16,1,515179,130676,51.06388,-0.3576461,
1010945,3002,2008845,8,0,37.8,36.0,1361.0,3,Times can vary depending on Tournaments etc,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,"Parking: Separate disabled bays available, Finding/Reaching Entrance: Entrance clearly visible, Reception Area: Reception desk with low counter, Doorways: Front door has entry bell to summon assistance if required, Changing Facilities: Ladies & Gents with designated space for wheelchairs, Toilets: Separate disabled toilet, with 1 toilet in each with grab bars, Social Areas: Bar and restaurant has disabiity access, Spectator Areas: Bar and restaurant has disability access, Emergency Exits: 6 signed exits with level access",1997,0,1,2005,1,0,,2,1,1,12,,,2025-02-06 12:58:02,1,547105,166271,51.37644,0.1122514,
1010946,3002,2008846,6,0,36.0,27.0,972.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,Wheelchairs are available for members to use on the bowls green. ,1970,0,1,2007,1,1,1998,2,1,1,12,,,2025-07-28 09:33:43,1,618861,245322,52.06303,1.191462,
1010947,3002,2008847,5,0,36.0,23.0,828.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,Parking: 3 Designated bays,1990,0,1,2014,1,0,,2,1,1,12,,,2025-09-09 12:38:25,1,534027,387140,53.36417,0.012695,
1010948,3002,2008848,6,0,36.6,27.6,1010.0,3,opening times do change when due to seasons. ,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,1,0,,1998,0,0,,1,0,,2,1,1,12,,,2025-05-13 09:18:00,1,455404,262304,52.25615,-1.189737,
1010949,3002,2008849,8,0,42.0,37.8,1588.0,5,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,0,2,,1966,0,1,2019,1,1,2001,2,1,1,12,2019-04-29,103,2019-05-03 12:14:16,1,489049,180973,51.52067,-0.7179105,
1010950,3002,2008851,8,0,37.6,37.2,1399.0,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2002,0,1,2013,1,0,,2,1,1,12,,,2025-06-25 11:08:31,1,572055,210707,51.76861,0.4921427,
1010951,3002,2008852,6,0,36.5,27.0,986.0,3,"Summer Opening Times: Monday: 08.00 - 21.30
Tuesday: 08.00 - 21.30
Wednesday: 08.00 - 21.30
Thursday- 08.00 - 21.30
Friday: 08.00 - 21.30",,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,Parking: 2 designated disabled parking bays available,1982,0,1,2005,1,1,2005,2,1,1,12,,,2025-08-07 10:30:11,1,598302,223817,51.87766,0.8795503,
1010953,3002,2008854,10,0,36.0,45.0,1620.0,3,,,1975-09-01,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,0,0,,1975,0,1,2016,1,0,,2,2,9,4,,,2025-08-01 11:51:44,1,339726,555849,54.89373,-2.941278,
1010954,3002,2008855,4,0,36.0,18.0,648.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1973,0,1,2005,1,1,2011,2,1,1,12,,,2025-09-05 14:47:45,1,642743,290373,52.45735,1.571534,
1010955,3002,2008856,6,0,35.1,25.2,885.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,0,1,1,1,0,"Parking:6 Designated spaces, Finding/Reaching Entrance: No steps, Doorways: Wide doors, Toilets: 1 disabled toilet, Emergency Exits: To outdoor green.",1971,0,1,2012,1,0,,2,1,1,12,,,2025-01-21 08:03:22,1,505507,250264,52.14062,-0.4596885,
1010956,3002,2008857,2,0,33.5,10.8,362.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,1,1,1,0,1,1,1,0,0,,1932,0,1,2012,1,1,2007,2,1,1,12,,,2025-09-03 11:31:35,1,545448,257007,52.19214,0.126462,
1010957,3002,2008858,2,0,36.0,10.4,374.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,1,0,,1995,0,1,2004,1,1,2004,2,1,1,12,,,2025-04-22 12:06:56,1,415699,200821,51.70591,-1.7742,
