Site ID,Facility Type,Facility Subtype,Facility ID,Freestyle Features,Moguls,Tow,Slope Type,Surface Type,Artificial Sports Lighting,Skiable Length,Skiable Width,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011596,11,11001,2009168,3,0,2,3,21,1,220.0,35.0,3,Undergoing resurfacing - June 2022 ,,,,Pay and Play,Public Access,Commercial Management,Commercial,0,0,1,1,1,0,1,0,0,1,0,,1986,0,1,2022,0,0,,2,1,1,12,,,2025-01-14 14:27:42,1,578329,164956,51.35569,0.5597885,
1011597,11,11001,2009169,3,0,1,1,20,1,20.0,35.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,1,0,,1989,0,1,2004,0,0,,2,1,1,12,,,2025-01-14 14:50:33,1,251427,57378,50.39744,-4.09179,
1011597,11,11001,2009171,3,0,1,3,21,1,130.0,20.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,1,0,,1989,0,1,2023,0,0,,2,1,1,12,,,2025-01-14 14:50:33,1,251427,57378,50.39744,-4.09179,
1011599,11,11001,2009177,1,1,3,2,20,1,80.0,45.0,3,Slope includes mogul section.,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,0,1,1,0,"Reception Area: Low counter height, Activity Areas: Dedicated equipment",1984,0,1,2004,1,0,,2,1,1,12,,,2025-09-15 10:25:28,1,352134,492674,54.32739,-2.737504,
1011600,11,11002,2009179,3,0,1,3,22,0,300.0,40.0,3,,,,,Registered Membership use,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,1936,0,0,,1,0,,1,2,11,4,,,2025-12-23 11:29:28,1,334606,517757,54.55082,-3.012524,
1011610,11,11003,2009208,3,0,1,1,22,,135.0,20.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2000,0,1,2005,1,0,,2,1,1,12,,,2025-01-14 13:03:31,1,485946,238873,52.04162,-0.7482941,
1011610,11,11003,2009209,3,0,1,3,22,,175.0,20.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2000,0,1,2005,1,0,,2,1,1,12,,,2025-01-14 13:03:31,1,485946,238873,52.04162,-0.7482941,
1011610,11,11003,2009210,3,0,1,3,22,,175.0,20.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2000,0,1,2005,1,0,,2,1,1,12,,,2025-01-14 13:03:31,1,485946,238873,52.04162,-0.7482941,
1004696,11,11001,2028218,3,1,1,1,21,1,35.0,25.0,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1973,0,1,2009,1,1,2008,2,2,9,5,,,2025-09-23 10:41:15,1,332842,384994,53.35756,-3.01051,
1011595,11,11001,2039410,3,0,1,1,21,1,25.0,15.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,0,0,1,0,,2005,0,0,,1,1,2013,2,1,1,12,,,2025-01-14 14:21:38,1,354820,381109,53.32498,-2.67977,
