Site ID,Facility Type,Facility Subtype,Facility ID,Courts,Surface Type,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Operational Status Notes,Operational Status,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011233,4,4004,2021770,6,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,0,1,0,1,0,Lift,1886,1,2003,1,1,2011,2,2,10,3,,,2025-01-07 12:55:13,1,524223,177948,51.48685,-0.2122423,
1011233,4,4004,2021771,4,10,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,0,1,0,1,0,Lift,1886,1,2003,1,1,2011,2,2,10,3,,,2025-01-07 12:55:13,1,524223,177948,51.48685,-0.2122423,
1011234,4,4004,2021772,1,3,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,0,0,0,0,0,0,0,0,0,0,0,,1985,1,2015,1,1,2015,2,1,1,12,,,2025-03-13 09:05:36,1,615328,136664,51.08886,1.073437,
1011237,4,4004,2021775,3,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1999,1,2001,1,0,,2,1,1,12,,,2025-11-06 14:37:45,1,457874,337328,52.93027,-1.140468,
1011238,4,4004,2021776,1,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,0,1,1,1,1,1,,1988,1,2004,1,1,1998,2,1,1,12,,,2025-05-30 08:14:12,1,524486,172133,51.43453,-0.2104905,
1011240,4,4002,2021779,2,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,1982,1,2017,1,1,2007,2,1,1,12,,,2025-08-11 16:33:14,1,522787,215618,51.8257,-0.2196963,
1011241,4,4004,2021781,3,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,0,1,1,0,"Parking: 3 Designated Bays, bar and restaurant is upstairs but lift access is planned.",2002,0,,1,1,2016,2,1,1,12,,,2025-04-04 12:51:28,1,510366,104660,50.83096,-0.4341909,
1011243,4,4003,2021783,4,1,2,2,2,2,2,2,,3,National Tennis Association,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,1,0,0,1,0,,2000,1,2018,1,0,,2,1,1,12,,,2025-01-21 11:31:41,1,464455,151483,51.25887,-1.077674,
1011244,4,4004,2021784,1,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,1,1,0,1,0,0,,1928,1,2008,1,1,2008,2,1,1,12,,,2024-11-06 16:09:23,1,426040,434169,53.80319,-1.606101,
1011245,4,4004,2021785,1,5,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,0,1,0,,1975,1,2015,1,1,2007,2,1,1,12,,,2025-01-10 13:25:59,1,333449,432387,53.78355,-3.011508,
1011247,4,4002,2021786,3,3,2,2,2,2,2,2,New membrane put on 2018,5,,,,Pay and Play,Public Access,Commercial Management,Commercial,0,0,0,1,0,1,0,0,0,1,2,,1990,1,2018,0,0,,2,1,1,12,2020-04-01,101,2021-05-10 12:36:47,1,521649,363987,53.15915,-0.1820391,
1011248,4,4004,2021787,1,3,2,2,2,2,2,2,,3,,2018-03-01,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,0,1,1,1,0,0,0,1,0,,1974,1,2015,1,1,2015,2,1,1,12,,,2025-12-23 11:52:29,1,413765,421130,53.68646,-1.793054,
1011250,4,4004,2021788,4,5,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,"Parking: Designated Bay, Changing Facilities: Separate Facilities, Spectator Areas: Lift to viewing area",2003,0,,1,0,,2,1,1,12,,,2025-03-19 11:27:13,1,263243,55547,50.38385,-3.924975,
1009519,4,4004,2021790,3,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,1,1,0,,2004,1,2010,1,0,,2,1,1,12,,,2025-07-02 10:52:40,1,349049,136245,51.1232,-2.729397,
1011255,4,4002,2021792,2,3,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,0,0,0,0,,1998,1,2013,1,1,2016,2,1,1,12,,,2026-01-05 15:33:13,1,459110,153448,51.27712,-1.153938,
1011256,4,4003,2021794,1,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,0,1,1,0,,2003,0,,1,0,,2,1,1,12,,,2025-03-03 08:10:03,1,293824,73968,50.55579,-3.500218,
1011258,4,4004,2021796,1,5,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,0,1,1,2,,1992,1,2020,1,1,2006,2,1,1,12,,,2025-11-13 17:52:38,1,415850,415535,53.63612,-1.761763,
1011263,4,4001,2021801,3,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Other,Others,1,1,1,1,1,1,0,0,0,1,0,,1982,1,2010,1,1,2006,2,1,1,12,,,2025-11-04 10:54:06,1,487191,210072,51.78254,-0.7374307,
1000042,4,4004,2021802,10,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1994,1,2017,1,1,2018,2,1,1,12,,,2025-04-08 07:39:10,1,447606,114261,50.92584,-1.324002,
1011265,4,4004,2021803,3,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,1,1,0,1,1,0,,1992,2,,1,1,2006,2,1,1,12,,,2026-01-09 12:49:37,1,414047,435448,53.81514,-1.78814,
1011267,4,4004,2021804,2,5,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,1,0,0,0,0,,1990,1,2004,1,1,2005,2,1,1,12,2018-12-21,101,2021-09-22 16:25:17,1,531033,147895,51.21523,-0.1252604,
